PLAYING CONNECT 4 ,,,,
TOTAL SIMULATIONS : 500,,,,
,,,,
,,,,
AGENTS LIST :,,,,
,,,,
AGENT 0 : EnsembleUCT,,,,
It's Rollout policy is : RANDOM,,,,
No. of simulations per move :8,,,,
Time limit per move :-1,,,,
Horizon value :20,,,,
Constant value :0.8,,,,
Ensemble Count : 32,,,,
Run in Parallel : True,,,,
Cores in Machine : 32,,,,
,,,,
AGENT 1 : UCT,,,,
It's Rollout policy is : RANDOM,,,,
No. of simulations per move :1024,,,,
Time limit per move :-1,,,,
Horizon value :20,,,,
Constant value :0.8,,,,
REWARD FOR 1,REWARD FOR 2,WINNER,AVERAGE TIME/MOVE FOR 1,AVERAGE TIME/MOVE FOR 2
-2,2,2,0.032122513,0.480851928
-2,2,2,0.032763982,0.504929996
2,-2,1,0.035032749,0.504401012
2,-2,1,0.036329532,0.576981163
-2,2,2,0.03110173,0.417933967
-2,2,2,0.038753605,0.670417023
2,-2,1,0.035463691,0.532459378
-2,2,2,0.035236686,0.614148736
-2,2,2,0.032312734,0.474545462
-2,2,2,0.033996868,0.563666987
-2,2,2,0.029429807,0.376311382
-2,2,2,0.033590933,0.47780937
-2,2,2,0.034391468,0.538343169
-2,2,2,0.029016654,0.319209894
0,0,None,0.029241437,0.387027389
-2,2,2,0.034950495,0.637116909
0,0,None,0.030353682,0.463840473
2,-2,1,0.038359821,0.616568506
-2,2,2,0.034062658,0.528256961
-2,2,2,0.032318726,0.466047838
-2,2,2,0.034244277,0.533947099
2,-2,1,0.032304327,0.42611444
-2,2,2,0.034419881,0.604732249
-2,2,2,0.030657091,0.392975707
-2,2,2,0.032481571,0.491087377
2,-2,1,0.036555547,0.543849211
-2,2,2,0.030925304,0.458029926
2,-2,1,0.034855531,0.503466533
2,-2,1,0.03590248,0.543471098
-2,2,2,0.036230632,0.558657067
2,-2,1,0.048439344,0.583672365
-2,2,2,0.033365471,0.508201752
-2,2,2,0.031434727,0.373119243
-2,2,2,0.032241678,0.442412043
-2,2,2,0.031036536,0.430474559
-2,2,2,0.030736023,0.337130758
2,-2,1,0.042297006,0.648103118
-2,2,2,0.033210138,0.509054899
2,-2,1,0.033763409,0.458517456
-2,2,2,0.030743907,0.339798633
-2,2,2,0.031788753,0.459208085
-2,2,2,0.032924473,0.537036558
-2,2,2,0.029085613,0.319071838
-2,2,2,0.034153144,0.505625804
-2,2,2,0.036811233,0.655846268
-2,2,2,0.036352343,0.61081322
-2,2,2,0.031027145,0.395026419
2,-2,1,0.041759014,0.648254931
-2,2,2,0.034631276,0.584408998
-2,2,2,0.031031794,0.398912138
-2,2,2,0.031328612,0.447081288
-2,2,2,0.03834877,0.647149611
-2,2,2,0.030715077,0.387260173
-2,2,2,0.039289951,0.506370008
-2,2,2,0.034097341,0.503269801
-2,2,2,0.031200621,0.406259166
-2,2,2,0.032134229,0.462828658
2,-2,1,0.03739502,0.49282978
2,-2,1,0.035179541,0.404119059
-2,2,2,0.036571688,0.563593229
-2,2,2,0.035432029,0.600411177
-2,2,2,0.037154761,0.587547129
-2,2,2,0.0371418,0.549086412
-2,2,2,0.034937533,0.532327825
0,0,None,0.03071542,0.321531773
-2,2,2,0.033022038,0.443054501
-2,2,2,0.036545664,0.550706327
-2,2,2,0.036007595,0.566373467
2,-2,1,0.03786551,0.52994099
-2,2,2,0.033915418,0.460113542
-2,2,2,0.036263227,0.529992849
-2,2,2,0.037664754,0.59623255
-2,2,2,0.035302775,0.537294218
-2,2,2,0.036145622,0.574374784
-2,2,2,0.036984444,0.55739114
-2,2,2,0.035377026,0.539086764
-2,2,2,0.035632928,0.565658781
2,-2,1,0.040271997,0.525489834
-2,2,2,0.03545146,0.636763525
-2,2,2,0.034727693,0.575329494
-2,2,2,0.03616631,0.509377986
2,-2,1,0.032050736,0.346778589
-2,2,2,0.032203386,0.412360405
-2,2,2,0.03489982,0.545633923
-2,2,2,0.033555963,0.56186145
2,-2,1,0.032866365,0.380625235
-2,2,2,0.033598801,0.537115912
-2,2,2,0.034295479,0.484817298
-2,2,2,0.033836755,0.50971443
2,-2,1,0.039821489,0.598827396
-2,2,2,0.032726079,0.439273134
-2,2,2,0.030619133,0.366253293
0,0,None,0.030252559,0.365253358
-2,2,2,0.035932038,0.562812726
-2,2,2,0.030582273,0.385902107
2,-2,1,0.034230555,0.386691318
-2,2,2,0.036320925,0.549407641
2,-2,1,0.050253948,0.643089612
-2,2,2,0.036973783,0.646282264
2,-2,1,0.033362515,0.401166537
2,-2,1,0.032896581,0.383537656
-2,2,2,0.031635733,0.4517315
-2,2,2,0.03860817,0.646844864
-2,2,2,0.035231802,0.531915108
2,-2,1,0.033382148,0.396217689
-2,2,2,0.037234485,0.570657164
2,-2,1,0.033528527,0.379899502
-2,2,2,0.033450752,0.430925429
2,-2,1,0.031516803,0.363829663
-2,2,2,0.035242902,0.534258207
-2,2,2,0.0340331,0.537493249
-2,2,2,0.037743432,0.549763918
-2,2,2,0.034947225,0.575543097
2,-2,1,0.035964791,0.46260821
-2,2,2,0.032786306,0.478522158
-2,2,2,0.038389504,0.661550999
-2,2,2,0.033828914,0.528422316
-2,2,2,0.036635982,0.601965136
-2,2,2,0.034539501,0.504114707
-2,2,2,0.035624236,0.534405231
-2,2,2,0.038747867,0.572631995
2,-2,1,0.039598601,0.632888317
-2,2,2,0.036639418,0.541971036
-2,2,2,0.036788607,0.534639716
-2,2,2,0.03321898,0.445879936
-2,2,2,0.034923991,0.53270036
-2,2,2,0.035645155,0.56642514
-2,2,2,0.034257821,0.505352804
-2,2,2,0.037184149,0.588091105
-2,2,2,0.031514659,0.303282233
-2,2,2,0.03274912,0.454312479
2,-2,1,0.034910232,0.430642202
-2,2,2,0.033843431,0.534203876
-2,2,2,0.035715852,0.576594864
2,-2,1,0.033983168,0.424856989
-2,2,2,0.035772519,0.573954994
-2,2,2,0.035739779,0.59203287
-2,2,2,0.036962407,0.613080433
-2,2,2,0.030770648,0.369073153
-2,2,2,0.035325939,0.528631947
-2,2,2,0.034272559,0.468786256
0,0,None,0.031592562,0.346139124
-2,2,2,0.03359336,0.481093898
2,-2,1,0.036066383,0.412597775
-2,2,2,0.033757448,0.450794675
-2,2,2,0.036872188,0.599919478
2,-2,1,0.041545732,0.667674269
-2,2,2,0.036155428,0.555147103
-2,2,2,0.033733087,0.411123079
-2,2,2,0.034480643,0.490137506
2,-2,1,0.033938476,0.427974769
-2,2,2,0.034334024,0.517996327
-2,2,2,0.036494664,0.622644697
-2,2,2,0.035006718,0.527108669
-2,2,2,0.034823561,0.524183536
-2,2,2,0.037127097,0.599329909
2,-2,1,0.035698652,0.467689186
-2,2,2,0.033460311,0.466805135
-2,2,2,0.036618749,0.63045752
-2,2,2,0.035992127,0.498035321
2,-2,1,0.033992361,0.41253836
-2,2,2,0.033513337,0.469422728
-2,2,2,0.034610669,0.520495633
-2,2,2,0.036046863,0.565541196
-2,2,2,0.034015834,0.463606656
-2,2,2,0.032682582,0.383241741
2,-2,1,0.034104705,0.422364738
0,0,None,0.029790787,0.345322325
-2,2,2,0.035025922,0.5458177
2,-2,1,0.03637898,0.481678343
2,-2,1,0.034686539,0.395783517
-2,2,2,0.03577538,0.576104489
-2,2,2,0.035245577,0.571439293
0,0,None,0.032267979,0.387904553
2,-2,1,0.03652519,0.514845232
-2,2,2,0.032087472,0.398563226
-2,2,2,0.034408374,0.517224442
0,0,None,0.030280681,0.335839851
-2,2,2,0.033199347,0.453717378
-2,2,2,0.034936276,0.499206261
-2,2,2,0.035804296,0.529107165
-2,2,2,0.034971844,0.600263552
-2,2,2,0.037832839,0.630583831
0,0,None,0.031967027,0.380081041
-2,2,2,0.034296329,0.536050246
-2,2,2,0.034621325,0.522660255
-2,2,2,0.036017288,0.563509009
-2,2,2,0.032524459,0.458851449
2,-2,1,0.037329454,0.53036024
-2,2,2,0.032473273,0.398294436
2,-2,1,0.037971401,0.518406296
-2,2,2,0.031994157,0.380066223
-2,2,2,0.033969294,0.48982928
-2,2,2,0.032416557,0.391947533
-2,2,2,0.034425923,0.481362036
-2,2,2,0.034264028,0.519525846
-2,2,2,0.03327311,0.48441786
-2,2,2,0.035011218,0.551151936
-2,2,2,0.032797148,0.363685784
-2,2,2,0.035577774,0.518626319
-2,2,2,0.031779452,0.375544535
-2,2,2,0.033743424,0.478788628
-2,2,2,0.033183953,0.406440917
-2,2,2,0.032212232,0.399249077
2,-2,1,0.03505014,0.417274657
-2,2,2,0.03675584,0.624422391
-2,2,2,0.03209646,0.348667309
2,-2,1,0.034222953,0.406758841
-2,2,2,0.035187464,0.504139332
-2,2,2,0.036343336,0.560249355
-2,2,2,0.030124346,0.348152524
2,-2,1,0.034027709,0.445964575
-2,2,2,0.034985685,0.498415915
2,-2,1,0.037102004,0.482631723
2,-2,1,0.036951725,0.506079839
-2,2,2,0.033972323,0.522251209
2,-2,1,0.036275915,0.495404465
2,-2,1,0.033775756,0.393275612
-2,2,2,0.034896318,0.453708438
-2,2,2,0.032697063,0.344628572
-2,2,2,0.037689474,0.557597425
-2,2,2,0.036203444,0.506623328
-2,2,2,0.037632287,0.499532024
2,-2,1,0.037981142,0.536348256
-2,2,2,0.036742544,0.599151826
-2,2,2,0.036023939,0.487589395
2,-2,1,0.038873087,0.593749501
-2,2,2,0.037061691,0.547402906
-2,2,2,0.035493493,0.473792877
-2,2,2,0.033541298,0.402778594
-2,2,2,0.033454061,0.367008936
-2,2,2,0.036706309,0.463336051
-2,2,2,0.039012492,0.579653114
2,-2,1,0.035578665,0.437006574
-2,2,2,0.036572023,0.514992042
-2,2,2,0.035812736,0.501878917
-2,2,2,0.034305871,0.461171329
-2,2,2,0.038199043,0.641193008
-2,2,2,0.03863132,0.570937832
-2,2,2,0.036531952,0.518960953
-2,2,2,0.031211627,0.405710685
-2,2,2,0.037590086,0.635936737
-2,2,2,0.036475386,0.524066857
-2,2,2,0.030214991,0.345996789
0,0,None,0.03038319,0.350137052
-2,2,2,0.035669457,0.56517161
-2,2,2,0.034080871,0.489885012
-2,2,2,0.037304759,0.583054662
-2,2,2,0.030971742,0.328225946
-2,2,2,0.033736566,0.431347034
-2,2,2,0.032512744,0.403177725
-2,2,2,0.034017712,0.476494804
-2,2,2,0.035597214,0.50111391
-2,2,2,0.036050975,0.561059256
-2,2,2,0.035482883,0.559761306
2,-2,1,0.032335436,0.384626973
-2,2,2,0.035716589,0.473233645
2,-2,1,0.038719442,0.588791344
2,-2,1,0.035980244,0.472146809
-2,2,2,0.038669427,0.661379854
-2,2,2,0.037149615,0.5659545
-2,2,2,0.038216591,0.645880018
-2,2,2,0.034994245,0.525105506
-2,2,2,0.037443468,0.62052754
-2,2,2,0.030160797,0.342174172
-2,2,2,0.033906341,0.471337966
-2,2,2,0.033367729,0.468708261
0,0,None,0.032669249,0.383882034
-2,2,2,0.037807294,0.556188583
-2,2,2,0.035427756,0.536736117
-2,2,2,0.03749209,0.561496788
-2,2,2,0.036150475,0.614590685
-2,2,2,0.036481082,0.523392826
-2,2,2,0.031931961,0.337293148
-2,2,2,0.038271507,0.600431787
-2,2,2,0.033417404,0.452519536
-2,2,2,0.036499235,0.536155568
2,-2,1,0.034264737,0.37642116
-2,2,2,0.038450927,0.630534858
-2,2,2,0.035062889,0.522963305
2,-2,1,0.033134328,0.360826572
-2,2,2,0.037002166,0.638658007
-2,2,2,0.034136269,0.432759709
-2,2,2,0.033828497,0.44134984
-2,2,2,0.032807589,0.416341696
-2,2,2,0.035146218,0.496205935
-2,2,2,0.037160426,0.638622224
0,0,None,0.031029031,0.395863442
-2,2,2,0.036197305,0.596341054
-2,2,2,0.032620051,0.371475374
2,-2,1,0.034384317,0.41537008
-2,2,2,0.037883222,0.642897844
2,-2,1,0.034929812,0.449431762
-2,2,2,0.036901116,0.596423447
-2,2,2,0.035004377,0.488205582
-2,2,2,0.035439621,0.503163273
-2,2,2,0.037799478,0.678243995
-2,2,2,0.031049816,0.370916153
2,-2,1,0.036641172,0.49588372
-2,2,2,0.032431434,0.375957405
-2,2,2,0.036835402,0.59899202
-2,2,2,0.037666678,0.536435326
-2,2,2,0.033256657,0.446369017
-2,2,2,0.033851647,0.440377319
-2,2,2,0.035755343,0.572628021
2,-2,1,0.036583607,0.475138389
-2,2,2,0.035598808,0.473041587
2,-2,1,0.037436247,0.541208863
-2,2,2,0.036122382,0.496984104
-2,2,2,0.037852594,0.672576393
-2,2,2,0.034994602,0.5691751
-2,2,2,0.034671123,0.491014609
2,-2,1,0.037323695,0.524348112
-2,2,2,0.034743002,0.503742371
2,-2,1,0.035276935,0.428694531
-2,2,2,0.037649102,0.57742805
-2,2,2,0.037692202,0.572277413
-2,2,2,0.036689838,0.571838379
2,-2,1,0.033860379,0.370455331
-2,2,2,0.034111281,0.525810202
-2,2,2,0.035301078,0.519520478
-2,2,2,0.033199513,0.426856196
-2,2,2,0.036313367,0.578382635
-2,2,2,0.034563986,0.445420742
-2,2,2,0.0374903,0.590083974
-2,2,2,0.033094911,0.408384449
-2,2,2,0.032763627,0.386975792
0,0,None,0.02979752,0.357515108
-2,2,2,0.034521937,0.476230145
-2,2,2,0.038713872,0.66795361
-2,2,2,0.03458712,0.398477027
-2,2,2,0.034835021,0.499415922
-2,2,2,0.0349298,0.515230497
0,0,None,0.032015993,0.346158175
-2,2,2,0.035037458,0.529428343
-2,2,2,0.039022595,0.639279723
-2,2,2,0.031360519,0.346179056
-2,2,2,0.037998867,0.542465901
-2,2,2,0.034939528,0.528704524
-2,2,2,0.037557983,0.5671345
-2,2,2,0.035844001,0.554585912
-2,2,2,0.038224697,0.604423612
2,-2,1,0.040795061,0.604988681
2,-2,1,0.03623929,0.528199371
2,-2,1,0.034169134,0.382289966
-2,2,2,0.036663744,0.590937323
-2,2,2,0.038248403,0.626686028
2,-2,1,0.035556036,0.409297705
2,-2,1,0.037171419,0.459762848
2,-2,1,0.034372669,0.401329969
-2,2,2,0.035820314,0.523314527
0,0,None,0.028976225,0.35146015
-2,2,2,0.038934299,0.623723132
-2,2,2,0.037901076,0.58106663
-2,2,2,0.037039012,0.566112965
-2,2,2,0.033709034,0.42471008
-2,2,2,0.034978698,0.437397662
0,0,None,0.031720911,0.376658916
-2,2,2,0.03507182,0.403076112
-2,2,2,0.034688488,0.414465174
0,0,None,0.031565973,0.366270111
-2,2,2,0.037094116,0.587591839
2,-2,1,0.041765285,0.510515809
-2,2,2,0.040131807,0.618757367
-2,2,2,0.037007157,0.46989735
-2,2,2,0.037724286,0.618351251
-2,2,2,0.035584847,0.452514617
-2,2,2,0.03296998,0.363261728
-2,2,2,0.036354999,0.526504417
-2,2,2,0.034291464,0.411731243
-2,2,2,0.035890007,0.458848413
-2,2,2,0.033643021,0.403557009
2,-2,1,0.041014693,0.578738343
-2,2,2,0.035987755,0.520777166
0,0,None,0.032825788,0.331239462
-2,2,2,0.041235209,0.644436019
-2,2,2,0.034948349,0.375661358
-2,2,2,0.037698666,0.565298637
-2,2,2,0.036107832,0.407318393
-2,2,2,0.037100113,0.507971305
-2,2,2,0.035656586,0.398540735
-2,2,2,0.038974206,0.569520182
-2,2,2,0.039152145,0.600577286
2,-2,1,0.038493204,0.425044823
-2,2,2,0.047314201,0.630475249
-2,2,2,0.039199803,0.607183562
-2,2,2,0.03509593,0.376662758
-2,2,2,0.039392074,0.584824589
-2,2,2,0.03566216,0.384930877
2,-2,1,0.037675773,0.414356582
-2,2,2,0.036804795,0.530641198
2,-2,1,0.041527915,0.508214378
2,-2,1,0.042127132,0.55972041
2,-2,1,0.040736437,0.599135854
0,0,None,0.033638716,0.380581844
-2,2,2,0.041161742,0.596233402
-2,2,2,0.036847555,0.483258669
-2,2,2,0.03760128,0.56568284
-2,2,2,0.039571136,0.584598213
-2,2,2,0.037151432,0.510669088
2,-2,1,0.03949187,0.529657147
-2,2,2,0.035476282,0.441152558
-2,2,2,0.037335786,0.553920031
-2,2,2,0.038278818,0.576222241
2,-2,1,0.041795424,0.582040378
-2,2,2,0.03645132,0.542539457
-2,2,2,0.038982051,0.603951659
-2,2,2,0.038787782,0.610121131
-2,2,2,0.037993378,0.60427875
-2,2,2,0.038584102,0.553320213
2,-2,1,0.035856331,0.384289924
-2,2,2,0.037230708,0.431094451
2,-2,1,0.039576335,0.534828966
-2,2,2,0.034904592,0.484266407
2,-2,1,0.037291225,0.476785469
2,-2,1,0.034528569,0.383940897
-2,2,2,0.035288349,0.452550218
2,-2,1,0.036576673,0.417957607
-2,2,2,0.039932823,0.658743286
-2,2,2,0.036147237,0.479147688
-2,2,2,0.035001937,0.392995203
-2,2,2,0.037607633,0.575053178
-2,2,2,0.038865447,0.649132212
2,-2,1,0.03779093,0.44106311
-2,2,2,0.038637241,0.53476119
-2,2,2,0.037125397,0.50121541
-2,2,2,0.032775829,0.378516511
-2,2,2,0.039449862,0.561210258
-2,2,2,0.037784266,0.552786827
-2,2,2,0.035443041,0.382036832
-2,2,2,0.038321938,0.614926951
-2,2,2,0.035369039,0.390513274
-2,2,2,0.03555425,0.457548237
-2,2,2,0.03787086,0.590260577
-2,2,2,0.037583152,0.62389795
-2,2,2,0.038529587,0.578996611
-2,2,2,0.035880486,0.424197515
-2,2,2,0.034796489,0.397320045
-2,2,2,0.037857135,0.540342384
2,-2,1,0.038727982,0.47970329
-2,2,2,0.033028992,0.35550972
-2,2,2,0.033585389,0.395132158
-2,2,2,0.036467287,0.5717659
-2,2,2,0.033732653,0.354538216
2,-2,1,0.0375055,0.431517331
2,-2,1,0.036214702,0.419179397
2,-2,1,0.038650831,0.530739148
-2,2,2,0.038279325,0.58349824
-2,2,2,0.037011653,0.42602618
-2,2,2,0.035859806,0.493331586
-2,2,2,0.035520665,0.50517292
-2,2,2,0.038330608,0.630144013
2,-2,1,0.03856769,0.443686467
2,-2,1,0.032062405,0.364308558
2,-2,1,0.03514666,0.376673871
2,-2,1,0.043035905,0.593479156
-2,2,2,0.037368011,0.50303719
-2,2,2,0.031310433,0.375667175
-2,2,2,0.036819588,0.491725748
-2,2,2,0.03686893,0.552085945
-2,2,2,0.036782225,0.509371956
-2,2,2,0.03593048,0.468289018
-2,2,2,0.037988697,0.565679857
-2,2,2,0.039918014,0.563439403
-2,2,2,0.040410185,0.698385191
-2,2,2,0.039081505,0.569210393
0,0,None,0.030073279,0.364172731
-2,2,2,0.037165582,0.547828108
0,0,None,0.030146326,0.362836191
2,-2,1,0.034016145,0.368016117
2,-2,1,0.037659196,0.398063309
-2,2,2,0.036907841,0.487670422
-2,2,2,0.033681477,0.3774126
-2,2,2,0.038599677,0.574339443
-2,2,2,0.032433096,0.308353424
-2,2,2,0.037318707,0.517419312
-2,2,2,0.039254056,0.562678893
-2,2,2,0.034260975,0.373815656
-2,2,2,0.039691176,0.662183353
-2,2,2,0.036370373,0.514179564
-2,2,2,0.032110904,0.366130189
-2,2,2,0.038573113,0.580559167
2,-2,1,0.037370177,0.404411933
-2,2,2,0.034829184,0.429140136
-2,2,2,0.039903164,0.653554042
2,-2,1,0.039780915,0.508862933
2,-2,1,0.040448999,0.561096478
2,-2,1,0.037391297,0.459232585
-2,2,2,0.037318028,0.538504252
2,-2,1,0.036764463,0.41890502
2,-2,1,0.038199067,0.44484356
-2,2,2,0.034598827,0.467920287
2,-2,1,0.036066666,0.357973054
-2,2,2,0.034222073,0.342777663
-2,2,2,0.03944521,0.584460258
0,0,None,0.0343725,0.374071246
-2,2,2,0.036349024,0.511192083
-2,2,2,0.035647571,0.443077266
2,-2,1,0.03847829,0.484938285
-2,2,2,0.036562423,0.539912979
,,,,
AVG OF REWARDS (FOR OVERALL SIMULATION) : ,,,,
"[-1.088, 1.088]",,,,
AVG WINS FOR AGENT 1 : 0.206,,,,
AVG WINS FOR AGENT 2 : 0.75,,,,
